@relation 'cluster-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R7-8-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute workers numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute latency {0,1}

@data
17,32,15,8,70,7,1
86,34,13,29,45,15,1
71,22,5,21,66,22,1
39,11,28,17,95,19,1
52,4,8,14,75,25,1
74,10,25,20,70,7,1
20,12,9,14,96,12,1
28,21,33,27,64,8,1
59,22,33,28,100,20,1
93,28,33,4,48,12,0
24,21,14,14,110,22,1
56,25,28,2,102,34,0
96,19,28,5,30,3,0
7,10,31,3,72,9,0
61,18,16,27,96,12,1
61,6,35,23,90,15,1
45,21,25,19,112,16,1
73,29,8,29,63,7,1
80,25,12,24,99,11,1
79,10,11,2,48,12,0
61,19,28,8,54,6,0
14,8,8,27,50,10,1
91,32,18,14,80,8,1
83,30,18,11,80,16,1
47,15,34,10,84,12,1
93,22,8,11,54,9,1
64,11,18,2,36,9,0
12,11,29,29,77,11,1
58,24,20,5,63,7,0
80,10,20,2,110,11,0
48,26,25,6,45,15,0
88,34,27,22,120,15,1
22,5,20,12,96,12,1
38,8,26,21,80,20,1
86,28,30,28,90,15,1
17,4,6,11,40,5,1
76,10,12,7,70,7,0
57,10,30,3,114,19,0
21,29,30,23,96,24,1
70,13,21,13,105,35,1
27,9,21,11,40,4,1
92,8,14,6,120,20,0
4,6,7,2,60,6,0
81,8,25,27,51,17,1
76,17,10,26,50,5,1
50,7,30,17,108,12,1
21,11,4,20,78,13,1
35,5,13,15,87,29,1
4,18,19,1,99,11,0
41,18,22,4,66,11,0
34,4,32,4,49,7,0
28,10,11,2,54,6,0
74,20,9,31,108,18,1
54,6,19,12,56,7,1
26,18,7,26,72,9,1
71,12,26,25,70,10,1
44,6,8,4,56,14,0
48,13,30,16,70,7,1
79,35,18,6,48,6,0
45,21,7,12,91,13,1
84,24,17,28,54,6,1
56,12,22,28,49,7,1
80,25,22,29,88,11,1
35,5,6,18,35,7,1
64,33,22,16,91,13,1
91,29,17,27,108,27,1
47,15,6,11,110,11,1
85,33,33,21,96,12,1
57,10,12,2,45,15,0
93,11,29,17,32,4,1
59,29,19,5,57,19,0
43,33,22,1,54,6,0
24,17,6,23,108,36,1
51,32,17,19,28,4,1
73,5,7,4,42,6,0
16,5,16,5,90,15,0
61,24,20,16,110,11,1
75,6,13,32,28,4,1
92,13,21,27,30,3,1
74,15,33,22,108,18,1
67,22,29,9,96,12,0
67,9,17,28,56,8,1
40,13,23,24,108,12,1
33,25,20,17,54,9,1
51,12,15,21,42,14,1
68,12,4,30,40,4,1
22,24,6,12,60,6,1
15,26,13,10,80,10,1
29,5,28,6,120,20,0
82,4,16,12,80,8,1
48,12,17,32,56,8,1
74,23,4,6,60,10,1
78,9,11,29,56,7,1
84,11,19,14,30,6,1
40,21,21,2,105,15,0
61,26,13,22,40,4,1
70,13,16,18,36,4,1
44,22,33,16,81,9,1
49,34,15,19,108,18,1
79,29,35,9,114,38,0
33,22,13,12,108,18,1
45,9,8,10,50,5,1
91,25,8,26,87,29,1
14,19,7,28,35,7,1
17,18,17,21,100,10,1
13,25,27,12,105,15,1
20,11,13,21,108,12,1
82,20,10,31,40,10,1
41,13,7,4,54,9,0
25,5,9,1,72,18,0
19,19,30,32,102,17,1
15,27,24,2,28,4,0
80,4,35,24,56,7,1
29,5,20,5,90,9,0
54,14,35,30,72,9,1
46,17,15,19,32,4,1
6,30,15,16,84,14,1
4,19,26,14,48,16,1
76,29,7,14,64,8,1
5,33,14,12,36,4,1
86,4,15,21,77,11,1
44,32,27,5,60,6,0
94,28,15,24,105,15,1
96,32,7,15,72,8,1
70,20,33,7,36,4,0
93,6,21,26,54,9,1
33,6,17,27,55,11,1
5,8,19,13,114,19,1
4,35,29,24,63,7,1
32,18,29,21,30,3,1
59,29,17,14,95,19,1
82,13,23,27,96,12,1
11,11,22,25,112,16,1
8,18,17,10,90,10,1
70,27,35,13,104,13,1
49,12,30,2,72,12,0
82,25,8,8,105,15,1
66,10,24,5,100,10,0
56,24,28,26,30,6,1
84,30,29,5,112,16,0
13,29,7,27,114,38,1
18,7,28,9,72,8,1
55,20,17,22,114,19,1
5,16,24,4,84,21,1
34,10,9,12,48,6,1
63,28,27,17,70,7,1
52,4,6,17,51,17,1
42,27,22,28,40,5,1
7,29,10,16,64,8,1
14,21,16,15,72,8,1
77,20,32,9,64,8,0
50,12,29,27,72,8,1
48,8,33,9,80,16,0
64,32,10,3,66,11,0
87,15,11,28,81,9,1
4,20,14,13,112,16,1
86,27,23,16,50,5,1
74,5,5,11,90,15,1
38,4,24,10,96,16,1
68,9,14,19,50,5,1
62,12,4,10,112,14,1
79,31,9,14,50,10,1
94,20,22,13,102,34,1
62,18,17,17,45,5,1
50,6,29,3,65,13,0
48,30,31,21,84,28,1
37,26,6,2,36,4,0
81,28,24,28,60,15,1
10,32,8,28,88,22,1
78,7,24,10,96,12,1
44,30,6,27,80,20,1
63,26,35,16,84,21,1
88,33,19,16,54,18,1
31,17,34,4,72,8,0
80,6,17,12,40,4,1
55,5,31,5,72,8,0
20,22,24,13,50,10,1
82,34,19,11,102,34,1
71,29,27,16,36,9,1
82,13,35,23,114,38,1
88,35,20,17,72,12,1
31,8,21,13,90,18,1
67,5,6,19,49,7,1
22,12,20,12,68,17,1
32,7,33,28,90,10,1
28,19,35,20,108,27,1
68,21,32,8,72,9,0
54,22,6,25,60,10,1
66,28,15,12,42,6,1
88,31,25,17,44,11,1
23,33,30,19,72,8,1
92,35,13,9,72,8,1
56,33,29,22,84,14,1
87,24,30,22,54,9,1
7,21,26,10,65,13,1
42,14,26,12,70,7,1
46,24,14,10,104,13,1
73,6,30,6,90,15,0
16,30,5,30,81,9,1
63,24,17,27,60,10,1
66,14,34,29,108,36,1
31,14,12,6,80,8,1
54,10,22,23,108,27,1
42,17,24,6,56,14,0
95,14,30,19,49,7,1
68,14,18,19,110,11,1
48,35,21,23,32,8,1
54,5,24,8,63,9,1
13,22,34,2,105,15,0
8,9,30,3,45,9,0
96,33,29,30,56,8,1
23,7,4,7,104,26,1
49,4,33,26,40,5,1
23,31,25,25,49,7,1
12,13,33,32,63,21,1
67,22,18,7,60,10,0
63,14,17,5,35,5,0
64,14,13,2,45,9,0
80,5,34,2,33,11,0
95,35,13,5,96,24,0
94,9,20,3,36,6,0
39,6,5,24,51,17,1
22,11,34,10,105,15,1
88,32,17,1,95,19,0
23,25,26,27,48,16,1
80,8,12,27,45,9,1
31,25,9,23,87,29,1
46,15,34,24,35,7,1
65,26,31,24,49,7,1
60,4,25,29,70,7,1
52,27,26,15,60,10,1
61,32,14,10,63,9,1
12,5,34,27,70,7,1
90,25,20,30,108,12,1
63,31,11,3,32,8,0
80,24,14,12,60,12,1
35,31,28,22,100,10,1
80,23,30,14,72,12,1
81,30,22,31,30,3,1
83,7,33,32,99,33,1
65,23,7,12,90,18,1
85,12,27,12,81,27,1
84,11,31,29,35,5,1
90,30,6,16,76,19,1
94,24,33,16,105,21,1
35,24,22,16,40,10,1
33,17,6,10,115,23,1
24,8,10,12,35,5,1
92,16,27,2,54,9,0
95,33,14,5,45,9,0
22,16,6,28,99,11,1
77,29,12,17,112,28,1
56,6,11,4,36,4,0
31,32,4,10,30,6,1
34,23,16,29,36,4,1
23,30,27,14,40,5,1
68,17,19,22,64,8,1
4,15,24,14,40,4,1
20,35,20,17,30,3,1
83,25,8,20,66,11,1
72,12,7,22,100,10,1
95,15,23,5,66,22,0
79,7,6,10,98,14,1
14,31,33,1,56,14,0
8,22,14,31,96,24,1
36,32,29,16,105,15,1
12,27,33,27,63,7,1
14,25,12,5,104,26,1
67,12,21,31,90,10,1
41,20,13,15,95,19,1
59,29,25,24,27,3,1
4,28,31,19,63,9,1
92,29,24,23,91,13,1
24,7,10,11,32,8,1
38,17,12,17,108,27,1
44,23,23,30,60,10,1
27,11,31,19,77,11,1
67,32,8,28,117,13,1
21,30,27,21,42,14,1
91,12,14,11,110,11,1
43,20,14,31,69,23,1
17,33,29,26,68,17,1
9,25,33,17,48,8,1
45,16,19,11,48,8,0
38,21,33,27,72,18,1
85,16,16,29,88,22,1
23,6,4,16,36,9,1
20,31,30,14,72,9,1
23,29,12,28,96,12,1
83,12,7,18,56,14,1
53,6,4,19,102,17,1
41,33,19,11,40,4,1
14,17,25,5,90,10,0
11,17,21,31,104,13,1
9,17,13,11,99,33,1
41,9,33,15,90,9,1
84,10,27,18,98,14,1
90,10,13,28,70,10,1
65,10,31,14,100,20,1
17,6,15,7,56,7,0
90,31,17,2,30,6,0
37,35,19,13,108,18,1
85,13,6,10,90,9,1
6,5,14,3,56,7,1
32,21,11,20,64,8,1
54,7,13,1,40,10,0
10,34,10,26,117,13,1
85,24,12,30,100,25,1
64,24,28,14,80,10,1
16,14,28,25,100,20,1
47,11,8,8,105,15,1
95,35,34,3,84,12,0
5,9,20,5,40,10,1
5,14,18,12,35,5,1
8,33,22,24,42,7,1
56,29,28,28,72,8,1
73,6,17,2,104,13,0
53,31,18,30,81,27,1
34,28,35,17,56,8,1
92,32,17,22,30,6,1
67,7,31,28,50,5,1
71,17,31,2,60,20,0
19,8,4,28,100,10,1
79,4,18,13,44,11,1
52,6,29,17,40,8,1
18,16,34,9,110,11,1
54,27,19,7,88,22,0
55,33,23,25,108,27,1
4,27,17,3,108,12,1
4,25,33,23,108,12,1
56,5,21,19,105,21,1
6,12,25,1,48,16,0
86,30,25,22,56,7,1
30,25,24,20,51,17,1
78,7,33,29,87,29,1
37,34,18,27,78,13,1
54,29,28,22,72,8,1
89,13,21,3,78,26,0
84,34,4,3,72,8,0
80,24,4,8,110,11,1
71,29,4,30,45,5,1
40,33,24,13,92,23,1
37,26,23,22,91,13,1
96,31,10,28,90,9,1
95,5,14,9,102,17,1
10,30,7,26,102,34,1
81,9,34,14,35,5,1
84,7,19,11,96,12,1
37,21,22,22,30,5,1
82,11,35,29,72,9,1
70,28,34,14,100,10,1
85,28,31,2,104,13,0
48,16,12,27,28,4,1
13,22,26,29,48,12,1
13,32,13,25,96,12,1
71,6,13,25,120,12,1
68,24,20,17,60,6,1
71,14,28,9,76,19,0
26,10,15,16,117,13,1
88,34,27,26,102,17,1
90,34,35,18,55,11,1
87,24,10,5,60,10,0
6,33,28,21,70,10,1
42,14,14,25,54,6,1
40,19,27,25,112,16,1
33,15,14,11,65,13,1
68,17,19,5,50,10,0
40,22,7,2,98,14,0
7,33,5,20,49,7,1
8,29,29,6,40,4,1
86,32,25,11,33,11,0
68,31,13,16,72,24,1
55,27,29,1,49,7,0
94,16,32,13,105,21,1
68,10,14,25,42,6,1
53,29,23,24,32,4,1
37,28,16,5,54,18,0
88,23,25,21,65,13,1
47,24,22,1,36,9,0
89,16,8,17,100,25,1
76,32,9,27,90,15,1
8,4,21,8,90,10,1
64,11,28,12,90,9,1
65,19,11,25,84,21,1
15,4,31,4,64,8,0
6,7,22,24,91,13,1
49,19,25,14,70,10,1
47,11,34,6,48,8,0
20,8,11,4,88,11,0
61,21,31,31,110,11,1
8,35,24,31,66,22,1
48,34,23,22,64,8,1
11,15,22,8,108,27,1
28,22,24,7,70,7,0
67,4,23,11,104,26,1
70,13,33,17,80,10,1
83,12,22,30,100,20,1
86,23,25,24,75,15,1
46,19,27,24,119,17,1
35,9,16,19,72,12,1
10,23,8,1,42,7,0
73,12,8,19,70,7,1
37,9,28,25,40,4,1
33,24,28,26,60,10,1
11,28,14,6,60,10,1
19,22,16,13,70,14,1
21,25,31,17,80,20,1
5,25,26,25,90,10,1
30,21,34,7,72,9,0
