@relation 'cluster-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.Remove-R15-17-weka.filters.unsupervised.attribute.Remove-R2-4,6-9'

@attribute onBoltRate numeric
@attribute workers numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric

@data
113036,83,18,10,22,105,15
94053,36,10,16,1,84,28
181152,94,35,18,19,95,19
207251,75,6,27,9,70,10
204386,90,23,25,25,42,7
91983,27,8,28,1,32,4
56532,10,14,25,24,84,12
162051,29,5,16,12,104,26
144652,63,27,9,32,56,14
153755,17,32,15,8,70,7
218304,86,34,13,29,45,15
134152,71,22,5,21,66,22
235315,39,11,28,17,95,19
168455,52,4,8,14,75,25
218399,74,10,25,20,70,7
73906,20,12,9,14,96,12
206103,28,21,33,27,64,8
221742,59,22,33,28,100,20
174477,93,28,33,4,48,12
110378,24,21,14,14,110,22
135331,56,25,28,2,102,34
186022,96,19,28,5,30,3
77743,7,10,31,3,72,9
209263,61,18,16,27,96,12
211012,61,6,35,23,90,15
199211,45,21,25,19,112,16
201938,73,29,8,29,63,7
166755,80,25,12,24,99,11
125606,79,10,11,2,48,12
240846,61,19,28,8,54,6
60961,14,8,8,27,50,10
174755,91,32,18,14,80,8
199146,83,30,18,11,80,16
241955,47,15,34,10,84,12
182286,93,22,8,11,54,9
135183,64,11,18,2,36,9
67746,12,11,29,29,77,11
224593,58,24,20,5,63,7
110838,80,10,20,2,110,11
243484,48,26,25,6,45,15
190789,88,34,27,22,120,15
160898,22,5,20,12,96,12
241089,38,8,26,21,80,20
203608,86,28,30,28,90,15
117077,17,4,6,11,40,5
187461,76,10,12,7,70,7
168078,57,10,30,3,114,19
132248,21,29,30,23,96,24
210046,70,13,21,13,105,35
250823,27,9,21,11,40,4
167714,92,8,14,6,120,20
48010,4,6,7,2,60,6
207839,81,8,25,27,51,17
172601,76,17,10,26,50,5
210810,50,7,30,17,108,12
47869,21,11,4,20,78,13
227076,35,5,13,15,87,29
30564,4,18,19,1,99,11
204527,41,18,22,4,66,11
221319,34,4,32,4,49,7
155752,28,10,11,2,54,6
161318,74,20,9,31,108,18
232502,54,6,19,12,56,7
70469,26,18,7,26,72,9
201596,71,12,26,25,70,10
200576,44,6,8,4,56,14
236564,48,13,30,16,70,7
207274,79,35,18,6,48,6
125369,45,21,7,12,91,13
193660,84,24,17,28,54,6
232334,56,12,22,28,49,7
199602,80,25,22,29,88,11
224940,35,5,6,18,35,7
200745,64,33,22,16,91,13
175304,91,29,17,27,108,27
68667,47,15,6,11,110,11
204263,85,33,33,21,96,12
125163,57,10,12,2,45,15
184107,93,11,29,17,32,4
219949,59,29,19,5,57,19
89218,43,33,22,1,54,6
31630,24,17,6,23,108,36
246125,51,32,17,19,28,4
182784,73,5,7,4,42,6
153762,16,5,16,5,90,15
186271,61,24,20,16,110,11
196662,75,6,13,32,28,4
180950,92,13,21,27,30,3
212963,74,15,33,22,108,18
218002,67,22,29,9,96,12
205005,67,9,17,28,56,8
181568,40,13,23,24,108,12
251545,33,25,20,17,54,9
257180,51,12,15,21,42,14
171905,68,12,4,30,40,4
99465,22,24,6,12,60,6
125836,15,26,13,10,80,10
191660,29,5,28,6,120,20
180979,82,4,16,12,80,8
226818,48,12,17,32,56,8
142098,74,23,4,6,60,10
179508,78,9,11,29,56,7
199630,84,11,19,14,30,6
132925,40,21,21,2,105,15
242018,61,26,13,22,40,4
228264,70,13,16,18,36,4
245415,44,22,33,16,81,9
190226,49,34,15,19,108,18
222024,79,29,35,9,114,38
158786,33,22,13,12,108,18
111499,45,9,8,10,50,5
139080,91,25,8,26,87,29
48394,14,19,7,28,35,7
101634,17,18,17,21,100,10
76187,13,25,27,12,105,15
63686,20,11,13,21,108,12
208464,82,20,10,31,40,10
124694,41,13,7,4,54,9
100757,25,5,9,1,72,18
86274,19,19,30,32,102,17
161710,15,27,24,2,28,4
173519,80,4,35,24,56,7
174585,29,5,20,5,90,9
235621,54,14,35,30,72,9
259425,46,17,15,19,32,4
37736,6,30,15,16,84,14
35701,4,19,26,14,48,16
153550,76,29,7,14,64,8
55653,5,33,14,12,36,4
162198,86,4,15,21,77,11
216568,44,32,27,5,60,6
159072,94,28,15,24,105,15
98315,96,32,7,15,72,8
237279,70,20,33,7,36,4
185280,93,6,21,26,54,9
216567,33,6,17,27,55,11
23037,5,8,19,13,114,19
3664,4,35,29,24,63,7
254911,32,18,29,21,30,3
147695,59,29,17,14,95,19
197047,82,13,23,27,96,12
49403,11,11,22,25,112,16
47720,8,18,17,10,90,10
224405,70,27,35,13,104,13
144993,49,12,30,2,72,12
131046,82,25,8,8,105,15
194094,66,10,24,5,100,10
255378,56,24,28,26,30,6
187748,84,30,29,5,112,16
37284,13,29,7,27,114,38
157737,18,7,28,9,72,8
146164,55,20,17,22,114,19
57092,5,16,24,4,84,21
208642,34,10,9,12,48,6
221681,63,28,27,17,70,7
69999,52,4,6,17,51,17
246717,42,27,22,28,40,5
46609,7,29,10,16,64,8
84171,14,21,16,15,72,8
230696,77,20,32,9,64,8
231328,50,12,29,27,72,8
250337,48,8,33,9,80,16
162663,64,32,10,3,66,11
149337,87,15,11,28,81,9
15380,4,20,14,13,112,16
200261,86,27,23,16,50,5
133295,74,5,5,11,90,15
208965,38,4,24,10,96,16
201168,68,9,14,19,50,5
82020,62,12,4,10,112,14
201809,79,31,9,14,50,10
191352,94,20,22,13,102,34
237853,62,18,17,17,45,5
203932,50,6,29,3,65,13
251997,48,30,31,21,84,28
155365,37,26,6,2,36,4
210863,81,28,24,28,60,15
37164,10,32,8,28,88,22
209257,78,7,24,10,96,12
123892,44,30,6,27,80,20
238116,63,26,35,16,84,21
197930,88,33,19,16,54,18
212751,31,17,34,4,72,8
210707,80,6,17,12,40,4
220642,55,5,31,5,72,8
233941,20,22,24,13,50,10
210118,82,34,19,11,102,34
238897,71,29,27,16,36,9
204740,82,13,35,23,114,38
188858,88,35,20,17,72,12
