% cluster ARFF file
@relation cluster

@attribute onBoltRate numeric
@attribute joinBoltRate numeric
@attribute spoutRate numeric
@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data
200353,92214,200677,4,96,192,96,4,2,11,9,6,42,6,91,67447,677
32597,13520,32788,4,96,192,96,4,2,11,9,6,42,6,38,70895,304
54043,22807,54251,4,96,192,96,4,2,11,9,6,42,6,51,69694,243
75039,31900,75263,4,96,192,96,4,2,11,9,6,42,6,61,68725,246
92864,39435,93058,4,96,192,96,4,2,11,9,6,42,6,67,68993,292
241394,112020,242051,4,96,192,67,4,2,17,19,9,36,6,93,59144,678
40347,16996,40148,4,96,192,67,4,2,17,19,9,36,6,39,62183,343
67556,29012,67939,4,96,192,67,4,2,17,19,9,36,6,55,61700,259
94817,40688,95266,4,96,192,67,4,2,17,19,9,36,6,65,61730,273
117666,50398,118022,4,96,192,67,4,2,17,19,9,36,6,71,62875,365
78288,35478,78058,4,96,192,11,4,2,11,8,17,120,40,56,17956,9409
12964,6274,12059,4,96,192,11,4,2,11,8,17,120,40,13,17768,367
24621,11174,24257,4,96,192,11,4,2,11,8,17,120,40,16,17893,334
36756,16332,36493,4,96,192,11,4,2,11,8,17,120,40,22,18066,311
47359,21043,47116,4,96,192,11,4,2,11,8,17,120,40,28,18162,359
201345,87897,212870,4,96,192,78,4,2,9,31,22,60,20,92,75293,3516
51028,16748,37499,4,96,192,78,4,2,9,31,22,60,20,42,84206,636
63541,25249,63653,4,96,192,78,4,2,9,31,22,60,20,56,84484,622
92465,37339,92518,4,96,192,78,4,2,9,31,22,60,20,66,85503,597
187337,90416,189224,4,96,192,42,4,2,22,19,15,112,28,92,45727,6203
30691,14225,30852,4,96,192,42,4,2,22,19,15,112,28,33,46109,507
57033,24792,57357,4,96,192,42,4,2,22,19,15,112,28,44,45933,411
82980,36016,83231,4,96,192,42,4,2,22,19,15,112,28,56,46962,369
