% throughput ARFF file
@relation throughput

@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute throughput numeric

@data
4,96,192,37,4,2,15,29,32,95,19,205917
4,96,192,91,4,2,14,27,12,50,10,190200
4,96,192,46,4,2,6,7,6,28,7,250806
4,96,192,69,4,2,29,19,15,91,13,215930
4,96,192,65,4,2,30,13,8,96,16,204058
4,96,192,92,4,2,18,6,29,100,10,76351
4,96,192,42,4,2,10,11,4,114,19,120851
4,96,192,45,4,2,6,20,4,84,21,214515
4,96,192,79,4,2,26,10,14,36,4,169552
4,96,192,35,4,2,24,31,27,90,9,216028
4,96,192,89,4,2,4,32,29,105,35,155655
4,96,192,82,4,2,10,19,17,60,6,173718
4,96,192,34,4,2,5,21,4,64,8,224102
4,96,192,47,4,2,19,21,19,90,10,177385
4,96,192,63,4,2,32,20,17,90,9,185110
4,96,192,67,4,2,17,6,5,60,6,152561
4,96,192,22,4,2,19,8,14,88,22,134419
4,96,192,76,4,2,20,12,28,48,8,190656
4,96,192,78,4,2,19,8,29,77,11,167478
4,96,192,57,4,2,8,5,15,108,27,136891
4,96,192,7,4,2,25,31,16,56,8,65677
4,96,192,93,4,2,30,17,10,66,11,182389
4,96,192,61,4,2,11,28,22,98,14,214264
4,96,192,40,4,2,17,29,25,54,18,281427
4,96,192,76,4,2,12,8,31,81,9,145878
4,96,192,59,4,2,15,13,5,44,11,219169
4,96,192,22,4,2,5,23,18,60,6,146364
4,96,192,28,4,2,14,23,19,45,9,273532
4,96,192,17,4,2,27,30,31,115,23,88782
4,96,192,59,4,2,30,9,23,72,18,138512
4,96,192,68,4,2,6,30,24,90,15,205666
4,96,192,24,4,2,5,17,32,35,7,238024
4,96,192,26,4,2,30,19,17,112,16,161880
4,96,192,65,4,2,25,18,26,32,8,228540
4,96,192,46,4,2,31,27,23,72,9,227398
4,96,192,52,4,2,4,30,26,84,21,200227
4,96,192,45,4,2,10,11,21,48,6,222392
4,96,192,80,4,2,22,29,32,90,9,205996
4,96,192,24,4,2,26,15,28,96,12,110220
