Timestamp,Use\g,Share\g,Cache\g,Buffer\g,Swap\g,Total\g
2015-10-14T11:23:30+08:00,1448692940.8,0,319796292.27,214642414.93,18255872,4075216896
2015-10-14T11:23:45+08:00,1559940300.8,0,320090112,214648695.47,18255872,4075216896
2015-10-14T11:24:00+08:00,1578758963.2,0,320273612.8,214652518.4,18255872,4075216896
2015-10-14T11:24:15+08:00,1594973934.9,0,320352256,214656887.47,18255872,4075216896
2015-10-14T11:24:30+08:00,1604632849.1,0,320352256,214660983.47,18255872,4075216896
2015-10-14T11:24:45+08:00,1630008934.4,0,320352256,214663168,18255872,4075216896
2015-10-14T11:25:00+08:00,1659250278.4,0,320352256,214665079.47,18255872,4075216896
2015-10-14T11:25:15+08:00,1672151040,0,320352256,214667264,18255872,4075216896
2015-10-14T11:25:30+08:00,1694240768,0,320352256,214667264,18255872,4075216896
2015-10-14T11:25:45+08:00,1714443059.2,0,320354167.47,214669175.47,18255872,4075216896
2015-10-14T11:26:00+08:00,1728246033.1,0,320354440.53,214671360,18255872,4075216896
2015-10-14T11:26:15+08:00,1742539434.7,0,320352256,214673544.53,18255872,4075216896
2015-10-14T11:26:30+08:00,1755759138.1,0,320352256,214675456,18255872,4075216896
2015-10-14T11:26:45+08:00,1768864426.7,0,320352256,214675456,18255872,4075216896
2015-10-14T11:27:00+08:00,1786240204.8,0,320354167.47,214675456,18255872,4075216896
2015-10-14T11:27:15+08:00,1795736644.3,0,320358263.47,214675456,18255872,4075216896
2015-10-14T11:27:30+08:00,1796326468.3,0,320360448,214675456,18255872,4075216896
2015-10-14T11:27:45+08:00,1789945719.5,0,320360448,214677640.53,18255872,4075216896
2015-10-14T11:28:00+08:00,1780646707.2,0,320360448,214679552,18255872,4075216896
2015-10-14T11:28:15+08:00,1773284556.8,0,320360448,214681736.53,18255872,4075216896
2015-10-14T11:28:30+08:00,1771211434.7,0,320362632.53,214685832.53,18255872,4075216896
2015-10-14T11:28:45+08:00,1765779592.5,0,320364544,214687744,18255872,4075216896
2015-10-14T11:29:00+08:00,1748009506.1,0,320373282.13,214687744,18255872,4075216896
2015-10-14T11:29:15+08:00,1749737472,0,320383112.53,214687744,18255872,4075216896
2015-10-14T11:29:30+08:00,1793933312,0,320385024,214687744,18255872,4075216896
2015-10-14T11:29:45+08:00,1844656537.6,0,320385024,214689928.53,18255872,4075216896
2015-10-14T11:30:00+08:00,1849868288,0,320385024,214694024.53,18255872,4075216896
2015-10-14T11:30:15+08:00,1832735812.3,0,320385024,214697847.47,18255872,4075216896
2015-10-14T11:30:30+08:00,1804170854.4,0,320385024,214700032,18255872,4075216896
2015-10-14T11:30:45+08:00,1759280878.9,0,320385024,214700032,18255872,4075216896
2015-10-14T11:31:00+08:00,1713160192,0,320385024,214700032,18255872,4075216896
2015-10-14T11:31:15+08:00,1658099302.4,0,320387481.6,214700032,18255872,4075216896
2015-10-14T11:31:30+08:00,1626863206.4,0,320389120,214702489.6,18255872,4075216896
2015-10-14T11:31:45+08:00,1625670451.2,0,320389120,214704128,18255872,4075216896
2015-10-14T11:32:00+08:00,1644799590.4,0,320389120,214704128,18255872,4075216896
2015-10-14T11:32:15+08:00,1672965324.8,0,320389120,214704128,18255872,4075216896
2015-10-14T11:32:30+08:00,1694721092.3,0,320395673.6,214704128,18255872,4075216896
2015-10-14T11:32:45+08:00,1683582156.8,0,320398950.4,214704128,18255872,4075216896
2015-10-14T11:33:00+08:00,1638887424,0,320397312,214706585.6,18255872,4075216896
2015-10-14T11:33:15+08:00,1623455334.4,0,320397312,214708224,18255872,4075216896
2015-10-14T11:33:30+08:00,1675572019.2,0,320397312,214718054.4,18255872,4075216896
2015-10-14T11:33:45+08:00,1708697736.5,0,320397312,214724608,18255872,4075216896
2015-10-14T11:34:00+08:00,1702640844.8,0,320397312,214731161.6,18255872,4075216896
2015-10-14T11:34:15+08:00,1727502199.5,0,320397312,214743449.6,18255872,4075216896
2015-10-14T11:34:30+08:00,1791004945.1,0,320399223.47,214753006.93,18255872,4075216896
2015-10-14T11:34:45+08:00,1849103155.2,0,320401408,214761198.93,18255872,4075216896
2015-10-14T11:35:00+08:00,1871027404.8,0,320401408,214767479.47,18255872,4075216896
2015-10-14T11:35:15+08:00,1906404283.7,0,320401408,214769664,18255872,4075216896
2015-10-14T11:35:30+08:00,1971721830.4,0,320401408,214769664,18255872,4075216896
2015-10-14T11:35:45+08:00,1997655517.9,0,320401408,214771575.47,18255872,4075216896
2015-10-14T11:36:00+08:00,1946270651.7,0,320401408,214775671.47,18255872,4075216896
2015-10-14T11:36:15+08:00,1916257348.3,0,320401408,214777856,18255872,4075216896
2015-10-14T11:36:30+08:00,1952917367.5,0,320401408,214779767.47,18255872,4075216896
2015-10-14T11:36:45+08:00,2036802355.2,0,320403319.47,214785774.93,18255872,4075216896
2015-10-14T11:37:00+08:00,2081426636.8,0,320405504,214792055.47,18255872,4075216896
2015-10-14T11:37:15+08:00,2087019315.2,0,320405504,214799974.4,18255872,4075216896
2015-10-14T11:37:30+08:00,2110453896.5,0,320405504,214808439.47,18255872,4075216896
2015-10-14T11:37:45+08:00,2155442176,0,320408780.8,214810624,18255872,4075216896
2015-10-14T11:38:00+08:00,2238215782.4,0,320413696,214810624,18255872,4075216896
2015-10-14T11:38:15+08:00,2270303846.4,0,320413696,214812262.4,18255872,4075216896
2015-10-14T11:38:30+08:00,2284404462.9,0,320413696,214818542.93,18255872,4075216896
2015-10-14T11:38:45+08:00,2291920349.9,0,320413696,214822912,18255872,4075216896
2015-10-14T11:39:00+08:00,2294930909.9,0,320413696,214824823.47,18255872,4075216896
2015-10-14T11:39:15+08:00,2297064925.9,0,320413696,214827008,18255872,4075216896
2015-10-14T11:39:30+08:00,2299432960,0,320413696,214827008,18255872,4075216896
2015-10-14T11:39:45+08:00,2300129280,0,320413696,214830830.93,18255872,4075216896
2015-10-14T11:40:00+08:00,2300405077.3,0,320415607.47,214835200,18255872,4075216896
2015-10-14T11:40:15+08:00,2301073544.5,0,320417792,214839022.93,18255872,4075216896
2015-10-14T11:40:30+08:00,2301543219.2,0,320417792,214846668.8,18255872,4075216896
2015-10-14T11:40:45+08:00,2301456384,0,320417792,214854860.8,18255872,4075216896
2015-10-14T11:41:00+08:00,2301335961.6,0,320417792,214863598.93,18255872,4075216896
2015-10-14T11:41:15+08:00,2301378833.1,0,320417792,214869879.47,18255872,4075216896
2015-10-14T11:41:30+08:00,2301350434.1,0,320417792,214872064,18255872,4075216896
2015-10-14T11:41:45+08:00,2300598954.7,0,320419703.47,214875886.93,18255872,4075216896
2015-10-14T11:42:00+08:00,2299915195.7,0,320423799.47,214882167.47,18255872,4075216896
2015-10-14T11:42:15+08:00,2300081220.3,0,320428168.53,214884352,18255872,4075216896
2015-10-14T11:42:30+08:00,2300337902.9,0,320427895.47,214890905.6,18255872,4075216896
2015-10-14T11:42:45+08:00,2300081766.4,0,320425984,214901009.07,18255872,4075216896
2015-10-14T11:43:00+08:00,2299984281.6,0,320425984,214904832,18255872,4075216896
2015-10-14T11:43:15+08:00,2299698380.8,0,320428441.6,214904832,18255872,4075216896
2015-10-14T11:43:30+08:00,2299179827.2,0,320430080,214914662.4,18255872,4075216896
2015-10-14T11:43:45+08:00,2299317998.9,0,320430080,214923400.53,18255872,4075216896
2015-10-14T11:44:00+08:00,2299061043.2,0,320432537.6,214925312,18255872,4075216896
2015-10-14T11:44:15+08:00,2298786611.2,0,320434176,214925312,18255872,4075216896
