% ARFF file
@relation stormSample

@attribute dataRate numeric
@attribute supervisors numeric
@attribute cpucores numeric
@attribute memory numeric
@attribute workers numeric
@attribute spouts numeric
@attribute bolts numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data
42022,2,8,3.8,6,4,4,75,1853,500
38588,2,8,3.8,6,4,4,71,1861,60
903,2,8,3.8,4,4,8,3,996,410
28703,2,8,3.8,4,4,8,49,1261,3751
21778,2,8,3.8,4,4,8,33,1407,3803
34413,2,8,3.8,4,4,8,51,1446,46
21422,2,8,3.8,4,4,8,34,1433,71
14178,2,8,3.8,4,4,8,23,1348,121
40564,2,8,3.8,4,4,8,61,1474,739
29275,2,8,3.8,4,4,8,50,1532,2223
45720,2,8,3.8,4,4,8,74,1562,1242
34633,2,8,3.8,4,4,8,56,1593,3743
1669,2,8,3.8,4,8,8,5,1036,484
19402,2,8,3.8,4,8,8,27,1362,6051
52828,2,8,3.8,4,8,8,80,1499,1489
27755,2,8,3.8,4,8,8,44,1627,3318
24032,2,8,3.8,4,8,8,35,1692,5368
25428,2,8,3.8,4,8,8,41,1732,5635
10131,2,8,3.8,4,8,8,17,1741,6055
15631,2,8,3.8,4,8,8,26,1750,7008
30811,2,8,3.8,4,8,8,49,1781,4283
39709,2,8,3.8,4,8,8,63,1833,2578
3526,2,8,3.8,4,16,8,8,1069,476
12178,2,8,3.8,4,16,8,31,1423,13393
12991,2,8,3.8,4,16,8,39,1515,24924
17510,2,8,3.8,4,16,8,34,1532,1847
37457,2,8,3.8,4,16,8,69,1691,3892
47163,2,8,3.8,4,16,8,82,1821,1771
5873,2,8,3.8,4,16,8,22,1920,14736
19354,2,8,3.8,4,16,8,40,1971,9862
16450,2,8,3.8,4,16,8,29,2015,13181
26161,2,8,3.8,4,16,8,45,2061,18620
810,2,8,3.8,2,4,8,2,670,367
17926,2,8,3.8,2,4,8,22,840,2373
14704,2,8,3.8,2,4,8,20,859,127
24891,2,8,3.8,2,4,8,32,923,3650
19032,2,8,3.8,2,4,8,24,960,3358
63218,2,8,3.8,2,4,8,78,975,61
34252,2,8,3.8,2,4,8,45,1022,2292
39900,2,8,3.8,2,4,8,51,1069,2820
21127,2,8,3.8,2,4,8,27,1109,2184
33002,2,8,3.8,2,4,8,49,1145,2230
866,2,8,3.8,4,4,16,3,1013,444
39890,2,8,3.8,4,4,16,66,1316,243
21482,2,8,3.8,4,4,16,41,1396,2309
28847,2,8,3.8,4,4,16,51,1433,2813
36795,2,8,3.8,4,4,16,58,1488,2276
18757,2,8,3.8,4,4,16,35,1536,2690
39580,2,8,3.8,4,4,16,65,1556,65
1086,2,8,3.8,4,4,16,4,1568,2928
16023,2,8,3.8,4,4,16,27,1426,103
4720,2,8,3.8,4,4,16,9,1269,289
1673,2,8,3.8,4,8,8,4,1023,480
19257,2,8,3.8,4,8,8,36,1354,6129
47649,2,8,3.8,4,8,8,82,1497,1481
27848,2,8,3.8,4,8,8,46,1614,3415
23992,2,8,3.8,4,8,8,38,1671,5750
26244,2,8,3.8,4,8,8,46,1708,5519
9981,2,8,3.8,4,8,8,17,1718,4574
15531,2,8,3.8,4,8,8,23,1723,7264
30492,2,8,3.8,4,8,8,50,1773,4255
39471,2,8,3.8,4,8,8,63,1814,2612
13072,2,8,3.8,4,8,8,21,1841,7210
863,2,8,3.8,4,4,16,3,989,453
40747,2,8,3.8,4,4,16,69,1288,218
22491,2,8,3.8,4,4,16,39,1390,2512
35435,2,8,3.8,4,4,16,47,1466,3821
34967,2,8,3.8,4,4,16,58,1505,2315
20325,2,8,3.8,4,4,16,33,1540,3148
42781,2,8,3.8,4,4,16,65,1570,45
933,2,8,3.8,4,4,16,6,1587,2665
15965,2,8,3.8,4,4,16,27,1497,97
4719,2,8,3.8,4,4,16,10,1283,413
795,2,8,3.8,6,4,16,5,1270,406
12033,2,8,3.8,6,4,16,26,1260,71
21874,2,8,3.8,6,4,16,42,1519,76
45613,2,8,3.8,6,4,16,88,1704,41
35562,2,8,3.8,6,4,16,68,1766,38
16288,2,8,3.8,6,4,16,34,1769,75
5624,2,8,3.8,6,4,16,13,1634,229
40816,2,8,3.8,6,4,16,74,1808,52
46605,2,8,3.8,6,4,16,89,1848,55
41557,2,8,3.8,6,4,16,79,1858,43
34979,2,8,3.8,6,4,16,70,1864,41
1640,2,8,3.8,4,8,4,5,1002,486
2728,2,8,3.8,4,8,4,6,986,1751
14655,2,8,3.8,4,8,4,24,1361,8007
12193,2,8,3.8,4,8,4,20,1393,3319
18469,2,8,3.8,4,8,4,27,1460,8541
13159,2,8,3.8,4,8,4,21,1471,4511
19305,2,8,3.8,4,8,4,32,1504,6587
21720,2,8,3.8,4,8,4,34,1569,7162
10579,2,8,3.8,4,8,4,19,1582,3335
12889,2,8,3.8,4,8,4,21,1596,7756
41069,2,8,3.8,4,8,4,65,1650,3317
810,2,8,3.8,2,4,8,2,665,373
17804,2,8,3.8,2,4,8,23,830,2028
14762,2,8,3.8,2,4,8,20,849,125
24627,2,8,3.8,2,4,8,29,906,3134
19400,2,8,3.8,2,4,8,26,951,3087
61349,2,8,3.8,2,4,8,77,963,59
34907,2,8,3.8,2,4,8,46,1011,1829
39285,2,8,3.8,2,4,8,51,1061,1280
21013,2,8,3.8,2,4,8,27,1100,3152
33962,2,8,3.8,2,4,8,49,1124,2673
3655,2,8,3.8,4,16,4,8,1102,476
13232,2,8,3.8,4,16,4,34,1481,25447
13132,2,8,3.8,4,16,4,29,1556,6793
12622,2,8,3.8,4,16,4,22,1592,22248
7407,2,8,3.8,4,16,4,15,1628,15624
6790,2,8,3.8,4,16,4,14,1602,10589
13240,2,8,3.8,4,16,4,31,1664,17921
18715,2,8,3.8,4,16,4,31,1668,3749
11455,2,8,3.8,4,16,4,31,1698,14798
1700,2,8,3.8,4,8,16,5,1004,408
