@relation 'cluster-weka.filters.unsupervised.attribute.Remove-R1-6,8-9,15-16-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<2000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<2000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute workers numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute latency {0,1}

@data
46,4,7,14,30,10,1
21,14,13,19,30,10,1
37,4,23,6,30,10,0
47,7,21,7,30,10,0
53,19,21,21,30,10,1
44,6,16,8,30,10,0
30,23,11,5,30,10,0
30,9,15,4,30,10,0
11,17,6,19,30,10,1
42,11,21,10,30,10,0
31,23,10,7,30,10,0
37,18,7,5,30,10,0
13,14,15,20,30,10,1
40,12,8,5,30,10,0
27,10,21,11,30,10,0
26,19,22,22,30,10,1
44,16,14,4,30,10,0
31,14,20,10,30,10,0
28,17,21,7,30,10,0
20,17,16,5,30,10,0
21,11,12,5,30,10,0
6,20,13,12,30,10,1
13,10,17,12,30,10,0
12,9,6,17,30,10,1
13,13,15,20,30,10,1
16,11,4,23,30,10,1
25,4,4,23,30,10,1
37,15,11,7,30,10,0
31,20,5,21,30,10,1
12,22,13,16,30,10,1
29,15,9,21,30,10,1
38,18,4,19,30,10,1
38,5,16,23,30,10,1
13,13,7,18,30,10,1
27,14,15,5,30,10,0
13,22,17,7,30,10,0
52,22,6,17,30,10,1
18,18,14,19,30,10,1
7,5,9,4,30,10,0
29,10,4,14,30,10,1
40,8,20,23,30,10,1
7,17,20,6,30,10,0
47,5,5,20,30,10,1
31,9,7,12,30,10,1
41,9,8,12,30,10,1
11,18,9,4,30,10,0
6,22,21,5,30,10,0
26,18,8,9,30,10,0
37,4,14,23,30,10,1
39,23,17,6,30,10,0
39,22,14,9,30,10,0
29,15,13,11,30,10,0
35,4,23,14,30,10,1
52,19,10,11,30,10,1
45,18,5,16,30,10,1
17,19,17,20,30,10,1
44,21,17,20,30,10,1
31,17,9,11,30,10,0
33,6,11,19,30,10,1
9,16,23,23,30,10,1
46,12,20,20,30,10,1
35,21,9,17,30,10,1
25,4,6,9,30,10,0
42,12,12,10,30,10,0
29,12,8,18,30,10,1
28,19,16,21,30,10,1
34,7,5,18,30,10,1
48,19,5,13,30,10,1
37,23,17,19,30,10,1
34,18,17,19,30,10,1
10,16,21,4,30,10,0
16,5,18,4,30,10,0
27,23,21,22,30,10,1
4,5,19,18,30,10,1
27,14,10,14,30,10,1
20,19,11,21,30,10,1
8,16,14,6,30,10,0
53,9,10,12,30,10,1
12,8,11,5,30,10,0
37,20,8,15,30,10,1
48,22,9,10,30,10,0
24,18,19,17,30,10,1
7,6,17,18,30,10,1
9,11,14,23,30,10,1
25,4,13,14,30,10,0
15,23,18,19,30,10,1
50,21,12,11,30,10,1
19,16,12,14,30,10,0
19,12,4,15,30,10,1
14,4,9,17,30,10,1
44,10,16,17,30,10,1
51,18,12,22,30,10,1
13,15,14,19,30,10,1
38,15,19,16,30,10,1
12,22,11,10,30,10,0
40,16,12,7,30,10,0
37,17,22,23,30,10,1
42,16,16,21,30,10,1
35,6,11,15,30,10,1
31,14,22,17,30,10,1
30,12,16,7,30,10,0
32,7,16,14,30,10,1
42,12,7,23,30,10,1
5,11,16,23,30,10,1
11,5,6,22,30,10,1
16,23,5,8,30,10,0
16,16,18,6,30,10,0
22,23,4,5,30,10,0
53,8,19,8,30,10,0
44,23,11,4,30,10,0
8,5,12,23,30,10,1
30,8,18,17,30,10,1
11,16,9,19,30,10,1
24,23,17,23,30,10,1
47,8,13,19,30,10,1
37,15,19,7,30,10,0
11,18,10,10,30,10,0
16,14,5,8,30,10,1
43,16,6,6,30,10,0
42,8,13,7,30,10,0
9,11,21,23,30,10,1
10,18,22,12,30,10,0
33,13,13,22,30,10,1
45,16,23,18,30,10,1
40,22,17,18,30,10,1
8,12,8,10,30,10,0
43,13,11,9,30,10,0
7,15,10,5,30,10,0
12,23,15,10,30,10,0
