% cluster ARFF file
@relation cluster

@attribute onBoltRate numeric
@attribute joinBoltRate numeric
@attribute spoutRate numeric
@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data
53078,22311,53014,4,40,160,8,4,2,22,22,4,30,10,16,11462,401
91212,38619,91426,4,40,160,8,4,2,22,22,4,30,10,23,11753,228
102706,42990,103142,4,40,160,8,4,2,22,22,4,30,10,24,11962,616
118571,50006,118832,4,40,160,8,4,2,22,22,4,30,10,28,12024,867
128550,52219,130731,4,40,160,49,4,2,11,12,15,30,10,84,24400,3557
32489,13394,31943,4,40,160,49,4,2,11,12,15,30,10,17,27454,3086
58235,23692,58407,4,40,160,49,4,2,11,12,15,30,10,27,26575,720
86489,35410,86796,4,40,160,49,4,2,11,12,15,30,10,38,27698,579
110174,45287,110944,4,40,160,49,4,2,11,12,15,30,10,46,29273,457
165381,70169,169608,4,40,160,38,4,2,9,17,19,30,10,85,22402,3254
46195,19116,45931,4,40,160,38,4,2,9,17,19,30,10,20,25200,2757
86178,35337,86385,4,40,160,38,4,2,9,17,19,30,10,34,25601,711
124301,51249,125001,4,40,160,38,4,2,9,17,19,30,10,45,26504,580
160339,66331,161679,4,40,160,38,4,2,9,17,19,30,10,57,27078,497
116714,47910,118356,4,40,160,44,4,2,19,21,23,30,10,82,23275,6162
30337,13377,29758,4,40,160,44,4,2,19,21,23,30,10,16,27049,5202
55476,23808,55612,4,40,160,44,4,2,19,21,23,30,10,26,27386,913
83122,35665,83574,4,40,160,44,4,2,19,21,23,30,10,36,28501,773
108107,46355,108617,4,40,160,44,4,2,19,21,23,30,10,44,29946,683
132181,53392,134067,4,40,160,39,4,2,21,8,23,30,10,81,21899,4913
36478,16262,35858,4,40,160,39,4,2,21,8,23,30,10,18,24933,4326
64263,27221,64401,4,40,160,39,4,2,21,8,23,30,10,29,24798,950
92285,38986,92751,4,40,160,39,4,2,21,8,23,30,10,37,26157,736
123850,52372,124390,4,40,160,39,4,2,21,8,23,30,10,47,27119,643
169973,69481,172171,4,40,160,43,4,2,10,16,7,30,10,82,21816,990
39282,16999,39098,4,40,160,43,4,2,10,16,7,30,10,18,25206,901
66158,28690,66183,4,40,160,43,4,2,10,16,7,30,10,29,25382,365
94648,41409,94874,4,40,160,43,4,2,10,16,7,30,10,41,26034,240
118113,51643,119049,4,40,160,43,4,2,10,16,7,30,10,49,27232,187
162300,69054,166838,4,40,160,36,4,2,16,16,14,30,10,82,20831,2455
42187,18732,42015,4,40,160,36,4,2,16,16,14,30,10,19,23449,2130
79212,34275,79332,4,40,160,36,4,2,16,16,14,30,10,33,23315,586
109766,47786,110169,4,40,160,36,4,2,16,16,14,30,10,42,24037,433
142232,62087,143039,4,40,160,36,4,2,16,16,14,30,10,53,25003,375
149257,58788,151876,4,40,160,33,4,2,23,7,22,30,10,82,20164,4763
37526,16911,37486,4,40,160,33,4,2,23,7,22,30,10,18,21309,4180
70326,29357,70598,4,40,160,33,4,2,23,7,22,30,10,28,21365,943
112040,47245,112616,4,40,160,33,4,2,23,7,22,30,10,41,22972,672
146080,61476,146941,4,40,160,33,4,2,23,7,22,30,10,52,23878,604
169178,68491,171480,4,40,160,29,4,2,20,9,18,30,10,79,19294,3632
40864,17825,40671,4,40,160,29,4,2,20,9,18,30,10,18,19972,3170
81544,34399,81834,4,40,160,29,4,2,20,9,18,30,10,31,20290,688
119843,50659,120708,4,40,160,29,4,2,20,9,18,30,10,42,21506,575
147648,62886,148928,4,40,160,29,4,2,20,9,18,30,10,50,21992,487
188904,79226,190015,4,40,160,21,4,2,21,19,16,30,10,76,17935,2743
44281,18994,44251,4,40,160,21,4,2,21,19,16,30,10,18,18794,2354
85945,36904,86221,4,40,160,21,4,2,21,19,16,30,10,29,18742,651
124278,53178,124887,4,40,160,21,4,2,21,19,16,30,10,38,19156,523
159993,68436,161032,4,40,160,21,4,2,21,19,16,30,10,48,19341,448
244137,104934,246650,4,40,160,15,4,2,9,21,7,30,10,71,15153,773
35436,15251,35421,4,40,160,15,4,2,9,21,7,30,10,13,14981,721
67303,28885,67413,4,40,160,15,4,2,9,21,7,30,10,21,14871,382
98418,42365,98492,4,40,160,15,4,2,9,21,7,30,10,28,15365,280
125488,54437,125720,4,40,160,15,4,2,9,21,7,30,10,35,15599,245
143026,55013,146843,4,40,160,47,4,2,21,11,17,30,10,84,22962,4103
40444,17450,40312,4,40,160,47,4,2,21,11,17,30,10,21,25566,3496
73093,30460,73509,4,40,160,47,4,2,21,11,17,30,10,33,24869,703
106614,44688,107300,4,40,160,47,4,2,21,11,17,30,10,45,26067,573
135505,56883,136005,4,40,160,47,4,2,21,11,17,30,10,56,27631,481
223503,94051,225300,4,40,160,23,4,2,17,10,7,30,10,76,17551,809
49831,21448,49589,4,40,160,23,4,2,17,10,7,30,10,19,18447,720
91256,39373,91424,4,40,160,23,4,2,17,10,7,30,10,32,18566,296
128540,55328,128764,4,40,160,23,4,2,17,10,7,30,10,42,19151,217
156748,67467,157746,4,40,160,23,4,2,17,10,7,30,10,50,19466,194
121255,51873,122088,4,40,160,6,4,2,15,18,14,30,10,50,11033,3962
26334,11206,26367,4,40,160,6,4,2,15,18,14,30,10,9,10810,3443
51498,21862,51659,4,40,160,6,4,2,15,18,14,30,10,14,10982,561
76053,32334,76327,4,40,160,6,4,2,15,18,14,30,10,19,11113,557
99044,42854,99305,4,40,160,6,4,2,15,18,14,30,10,25,11146,579
195187,70059,195563,4,40,160,22,4,2,8,5,17,30,10,76,17559,3660
46930,20410,46824,4,40,160,22,4,2,8,5,17,30,10,18,17890,2785
82650,35063,82710,4,40,160,22,4,2,8,5,17,30,10,27,18429,635
128632,55363,128929,4,40,160,22,4,2,8,5,17,30,10,39,19147,599
166284,70926,167811,4,40,160,22,4,2,8,5,17,30,10,50,19420,853
201657,86484,204717,4,40,160,31,4,2,14,19,7,30,10,79,19530,873
40861,17824,40750,4,40,160,31,4,2,14,19,7,30,10,17,21198,792
77107,33795,77252,4,40,160,31,4,2,14,19,7,30,10,30,21123,364
106712,46294,107079,4,40,160,31,4,2,14,19,7,30,10,40,21698,284
132720,58292,133599,4,40,160,31,4,2,14,19,7,30,10,48,22478,252
210584,92609,213751,4,40,160,18,4,2,6,10,19,30,10,77,16499,2715
33815,14842,33417,4,40,160,18,4,2,6,10,19,30,10,13,16876,2461
67209,28920,67358,4,40,160,18,4,2,6,10,19,30,10,23,16843,707
99149,42653,99319,4,40,160,18,4,2,6,10,19,30,10,29,17246,666
131319,56421,131939,4,40,160,18,4,2,6,10,19,30,10,37,17510,644
211455,89430,213199,4,40,160,25,4,2,15,22,17,30,10,82,19424,2458
51544,21396,51480,4,40,160,25,4,2,15,22,17,30,10,20,20773,2112
100646,41841,101013,4,40,160,25,4,2,15,22,17,30,10,34,20830,614
139196,58361,140083,4,40,160,25,4,2,15,22,17,30,10,45,21223,505
177232,74059,177982,4,40,160,25,4,2,15,22,17,30,10,55,21431,531
231156,98229,232870,4,40,160,14,4,2,13,14,13,30,10,72,14923,1654
58084,24764,58194,4,40,160,14,4,2,13,14,13,30,10,20,14640,1424
107554,46624,107732,4,40,160,14,4,2,13,14,13,30,10,30,14929,517
150650,64856,151018,4,40,160,14,4,2,13,14,13,30,10,39,15288,523
171628,74496,172501,4,40,160,14,4,2,13,14,13,30,10,43,15362,915
131037,55705,135267,4,40,160,51,4,2,22,18,12,30,10,82,23468,2599
43739,19218,43277,4,40,160,51,4,2,22,18,12,30,10,23,28248,2000
