% cluster ARFF file
@relation cluster

@attribute onBoltRate numeric
@attribute joinBoltRate numeric
@attribute spoutRate numeric
@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data
11373,4475,11582,4,40,160,4,4,2,7,10,23,30,10,37,10000,63963
145896,57005,146644,4,40,160,30,4,2,11,4,22,30,10,76,20024,4879
156041,56980,158671,4,40,160,40,4,2,9,5,18,30,10,85,22206,3956
216900,92344,220356,4,40,160,27,4,2,20,21,10,30,10,80,18841,1237
129975,54585,131614,4,40,160,8,4,2,18,15,23,30,10,60,12148,5673
155356,59045,158233,4,40,160,41,4,2,6,15,14,30,10,83,22837,2963
180275,74692,182278,4,40,160,10,4,2,20,23,20,30,10,65,12885,3793
132583,54518,133881,4,40,160,39,4,2,19,12,21,30,10,82,22072,4843
142947,60559,144572,4,40,160,47,4,2,17,12,12,30,10,85,23393,2191
125106,53004,127084,4,40,160,44,4,2,14,21,13,30,10,81,22258,3052
125015,48143,126609,4,40,160,52,4,2,17,4,11,30,10,83,23509,2540
38706,16163,39774,4,40,160,4,4,2,13,10,17,30,10,34,10084,14948
185222,80882,189361,4,40,160,28,4,2,9,18,21,30,10,83,20152,3371
232770,99503,235939,4,40,160,19,4,2,8,12,11,30,10,77,16918,1340
152633,61294,155640,4,40,160,40,4,2,19,10,16,30,10,83,21198,3457
136034,56398,139266,4,40,160,53,4,2,23,13,11,30,10,85,24231,2008
205670,85865,207689,4,40,160,28,4,2,13,19,9,30,10,81,19256,1159
144170,61148,146696,4,40,160,41,4,2,15,20,17,30,10,84,22507,3620
223339,94593,224678,4,40,160,10,4,2,10,17,16,30,10,74,12891,2221
209238,90317,209210,4,40,160,17,4,2,21,5,5,30,10,71,15187,653
208248,87989,210231,4,40,160,23,4,2,11,21,22,30,10,81,19191,3330
146361,62180,147545,4,40,160,53,4,2,17,15,8,30,10,85,24218,1269
145562,55053,150241,4,40,160,39,4,2,5,12,19,30,10,79,22125,4101
133784,59344,135031,4,40,160,50,4,2,6,6,18,30,10,83,24913,3782
76325,32062,76651,4,40,160,6,4,2,21,10,20,30,10,43,11260,9327
170594,68192,173162,4,40,160,25,4,2,13,6,23,30,10,79,18533,5002
187384,73699,186262,4,40,160,14,4,2,20,4,9,30,10,67,14293,1540
211665,89047,214191,4,40,160,23,4,2,6,20,21,30,10,81,19168,3059
143153,53101,145493,4,40,160,44,4,2,13,6,22,30,10,85,23502,4866
102227,41880,104199,4,40,160,9,4,2,5,12,19,30,10,44,12503,5584
170559,72486,171180,4,40,160,10,4,2,9,12,14,30,10,56,12928,2745
105279,45337,105681,4,40,160,7,4,2,6,6,20,30,10,38,11642,4278
248997,110461,251431,4,40,160,20,4,2,4,8,8,30,10,80,16773,896
206392,84785,209242,4,40,160,25,4,2,18,7,14,30,10,80,18516,2277
226312,95821,227975,4,40,160,20,4,2,15,19,22,30,10,81,17980,2988
190981,80194,191914,4,40,160,16,4,2,19,10,19,30,10,72,15969,3368
192559,81156,194408,4,40,160,28,4,2,9,14,20,30,10,83,20441,3224
148084,62577,149727,4,40,160,47,4,2,18,21,13,30,10,86,23846,2322
66936,26980,67071,4,40,160,20,4,2,21,4,6,30,10,36,15279,1336
140037,59706,140351,4,40,160,4,4,2,19,16,4,30,10,59,10122,667
196328,80756,197790,4,40,160,26,4,2,21,11,14,30,10,80,19059,2208
154720,63689,156168,4,40,160,52,4,2,12,12,6,30,10,84,23548,931
172009,74767,174460,4,40,160,42,4,2,21,23,6,30,10,81,21584,762
201470,82373,202880,4,40,160,23,4,2,12,6,11,30,10,78,17479,1676
235515,101040,238869,4,40,160,23,4,2,10,19,12,30,10,81,18680,1455
179899,77247,180141,4,40,160,11,4,2,8,8,16,30,10,64,13687,3046
244057,105264,245758,4,40,160,15,4,2,8,14,19,30,10,79,15489,2300
167749,68191,169610,4,40,160,37,4,2,13,11,17,30,10,84,21758,3089
204170,87030,205883,4,40,160,8,4,2,17,16,11,30,10,66,12200,1708
107190,45418,107349,4,40,160,5,4,2,21,8,10,30,10,43,10218,2979
188606,78414,189919,4,40,160,29,4,2,9,10,19,30,10,83,20564,3020
151212,63103,152421,4,40,160,53,4,2,17,14,7,30,10,84,23923,1070
189932,75110,192380,4,40,160,32,4,2,5,14,15,30,10,83,21164,2366
121741,42453,124318,4,40,160,53,4,2,20,6,22,30,10,84,24734,6215
195080,82266,197144,4,40,160,23,4,2,18,19,23,30,10,82,19037,3539
123384,49013,123990,4,40,160,17,4,2,22,6,11,30,10,48,15485,1462
135115,53725,137215,4,40,160,52,4,2,12,12,12,30,10,86,24608,2730
117367,42975,122049,4,40,160,50,4,2,13,9,21,30,10,84,24077,5783
191752,75876,195121,4,40,160,28,4,2,6,5,10,30,10,80,18849,1779
230496,96501,231337,4,40,160,19,4,2,7,23,17,30,10,78,17537,2280
211168,89871,215730,4,40,160,26,4,2,12,10,9,30,10,79,17973,1301
179954,64849,181619,4,40,160,36,4,2,16,4,13,30,10,84,20410,2769
165988,71132,168540,4,40,160,33,4,2,5,11,23,30,10,82,21451,4047
168541,59875,170490,4,40,160,39,4,2,22,5,10,30,10,81,20136,2329
151887,61974,154846,4,40,160,43,4,2,9,20,14,30,10,84,23226,2546
130644,52455,134446,4,40,160,48,4,2,10,8,19,30,10,86,24600,4188
135597,57323,137301,4,40,160,50,4,2,17,15,9,30,10,83,23653,1724
116316,46754,120183,4,40,160,50,4,2,10,19,23,30,10,84,24763,5715
251664,107904,253518,4,40,160,15,4,2,18,15,7,30,10,74,15345,723
130562,49388,132270,4,40,160,49,4,2,16,7,19,30,10,86,24502,4457
121064,49845,125280,4,40,160,53,4,2,17,14,20,30,10,87,25119,4450
195700,75729,197165,4,40,160,18,4,2,10,6,12,30,10,74,15811,2235
137501,57480,138204,4,40,160,7,4,2,7,16,15,30,10,54,11749,3695
226418,94892,228866,4,40,160,21,4,2,7,9,8,30,10,77,16956,1145
231140,94660,232653,4,40,160,13,4,2,4,11,14,30,10,73,14704,1880
202075,87376,203911,4,40,160,28,4,2,21,23,14,30,10,82,20282,2051
180333,73203,182234,4,40,160,35,4,2,14,10,14,30,10,83,20967,2346
199780,84451,200164,4,40,160,17,4,2,21,6,9,30,10,73,15374,1460
235086,99082,236722,4,40,160,22,4,2,9,19,10,30,10,80,18346,1304
234485,99349,236350,4,40,160,23,4,2,19,23,7,30,10,78,18164,746
124276,52618,126145,4,40,160,52,4,2,16,23,18,30,10,87,25173,4044
144144,59598,146028,4,40,160,43,4,2,10,20,17,30,10,85,23329,3389
149574,63339,150944,4,40,160,8,4,2,15,8,18,30,10,59,12342,4155
185651,78866,186321,4,40,160,14,4,2,16,8,22,30,10,70,15100,4119
144718,60904,146703,4,40,160,41,4,2,9,19,23,30,10,85,23954,4534
171486,64716,172918,4,40,160,16,4,2,19,4,13,30,10,68,15415,2806
154623,66932,156445,4,40,160,42,4,2,17,18,11,30,10,83,22375,2284
176902,74980,178504,4,40,160,42,4,2,6,13,6,30,10,83,22456,845
204640,87910,207678,4,40,160,12,4,2,4,15,19,30,10,71,14250,3151
177976,74871,177919,4,40,160,33,4,2,13,4,5,30,10,78,18963,778
134728,46639,137162,4,40,160,48,4,2,20,5,14,30,10,84,23603,3542
142174,59698,145683,4,40,160,41,4,2,12,13,20,30,10,85,22992,3946
143775,52058,146119,4,40,160,35,4,2,23,6,23,30,10,83,21086,5434
228728,99549,229788,4,40,160,12,4,2,19,18,5,30,10,66,14237,576
160075,65794,160776,4,40,160,34,4,2,13,17,19,30,10,83,21714,3914
243788,107143,246143,4,40,160,15,4,2,23,17,8,30,10,73,15381,853
97508,41605,97838,4,40,160,6,4,2,20,9,12,30,10,44,11351,3692
92506,38683,92515,4,40,160,5,4,2,15,5,14,30,10,39,10337,4951
200952,87041,201864,4,40,160,7,4,2,11,17,4,30,10,59,11838,476
140636,48959,140979,4,40,160,53,4,2,12,4,7,30,10,81,22904,1636
181275,73201,183077,4,40,160,21,4,2,15,11,22,30,10,77,17708,4219
131248,57188,135465,4,40,160,46,4,2,4,21,18,30,10,82,24229,4505
129184,53502,132604,4,40,160,44,4,2,15,17,20,30,10,83,23092,4704
192731,81338,195478,4,40,160,23,4,2,20,18,18,30,10,79,18650,2785
148820,60460,149963,4,40,160,47,4,2,12,12,11,30,10,85,24179,2195
170449,72731,173925,4,40,160,30,4,2,11,17,19,30,10,82,20503,3384
228076,95812,230328,4,40,160,13,4,2,12,15,15,30,10,75,14780,1968
178547,75855,178754,4,40,160,6,4,2,12,20,6,30,10,58,11335,946
140970,58179,142059,4,40,160,53,4,2,8,18,11,30,10,85,25543,2226
200582,86796,203616,4,40,160,34,4,2,20,10,5,30,10,79,19233,500
183151,76814,185494,4,40,160,34,4,2,12,19,8,30,10,81,20754,1195
150412,63549,153846,4,40,160,43,4,2,15,19,17,30,10,86,23493,3123
159409,67978,161964,4,40,160,35,4,2,18,19,17,30,10,84,21610,3193
166697,61592,167080,4,40,160,42,4,2,8,5,8,30,10,82,21712,1447
143797,60110,147357,4,40,160,40,4,2,14,23,17,30,10,84,22453,3499
126849,51264,129590,4,40,160,49,4,2,15,12,23,30,10,86,25014,5078
172366,74842,173336,4,40,160,8,4,2,10,23,16,30,10,66,12380,3035
129533,56531,131063,4,40,160,50,4,2,18,19,14,30,10,86,24262,2869
204839,87160,209880,4,40,160,25,4,2,8,15,21,30,10,82,19503,3281
182211,71804,182913,4,40,160,27,4,2,22,6,19,30,10,82,19556,3664
229606,98182,231210,4,40,160,20,4,2,18,17,14,30,10,78,17796,1706
94720,35707,94295,4,40,160,24,4,2,5,5,18,30,10,52,17918,6224
225621,95275,227035,4,40,160,14,4,2,9,12,21,30,10,77,15404,2917
179456,77645,182013,4,40,160,39,4,2,22,15,6,30,10,81,21145,832
161450,68589,163024,4,40,160,33,4,2,23,23,23,30,10,84,21695,4321
159219,66370,162224,4,40,160,36,4,2,16,19,14,30,10,83,21632,2563
239517,102312,242507,4,40,160,15,4,2,12,13,19,30,10,79,15699,2414
255742,109141,257619,4,40,160,15,4,2,20,14,12,30,10,77,15682,1290
161467,69618,161622,4,40,160,44,4,2,20,13,6,30,10,81,22475,939
195062,87988,197321,4,40,160,37,4,2,23,21,4,30,10,80,20301,254
163146,69608,167255,4,40,160,42,4,2,22,15,11,30,10,84,21978,1742
139925,55375,141675,4,40,160,20,4,2,5,4,14,30,10,62,16319,3576
170112,69915,170846,4,40,160,40,4,2,16,4,4,30,10,78,19780,613
163509,70147,167463,4,40,160,35,4,2,6,22,18,30,10,81,22101,3115
168776,72847,171532,4,40,160,39,4,2,6,11,8,30,10,81,21723,1292
137676,54991,140274,4,40,160,50,4,2,11,18,12,30,10,85,24522,2440
241450,107101,242191,4,40,160,19,4,2,17,9,7,30,10,75,16618,782
26204,11375,26029,4,40,160,4,4,2,22,12,19,30,10,32,10398,20864
217109,92547,217717,4,40,160,18,4,2,17,10,14,30,10,76,16748,2052
161223,65566,162976,4,40,160,40,4,2,16,19,17,30,10,86,22998,3148
147984,62822,148930,4,40,160,8,4,2,21,4,4,30,10,53,12127,765
219574,91471,223670,4,40,160,22,4,2,7,16,18,30,10,80,18394,2707
154342,64093,155572,4,40,160,45,4,2,5,9,16,30,10,83,24673,3100
246422,106124,251687,4,40,160,20,4,2,11,17,10,30,10,78,17247,988
182181,73182,183908,4,40,160,38,4,2,4,18,9,30,10,80,22174,1516
108206,43205,111493,4,40,160,50,4,2,22,23,21,30,10,84,24141,6073
144435,57923,148217,4,40,160,50,4,2,4,17,11,30,10,80,24262,2193
146613,60561,147345,4,40,160,47,4,2,9,9,7,30,10,82,22996,1280
15475,6053,16576,4,40,160,4,4,2,9,5,21,30,10,32,10374,52481
169908,72524,172019,4,40,160,41,4,2,20,17,8,30,10,82,21939,1088
178292,71879,181790,4,40,160,35,4,2,5,7,16,30,10,83,21682,2721
217847,92061,219352,4,40,160,18,4,2,13,13,18,30,10,78,17068,2561
200102,85156,203150,4,40,160,23,4,2,14,9,17,30,10,81,18200,2783
158927,58399,162345,4,40,160,37,4,2,4,19,14,30,10,78,21924,2800
148693,65114,148946,4,40,160,6,4,2,4,11,8,30,10,53,11450,1837
75741,34023,76009,4,40,160,6,4,2,6,10,23,30,10,43,11937,4646
151828,62293,154089,4,40,160,45,4,2,10,20,10,30,10,84,23120,1746
135185,58208,135346,4,40,160,4,4,2,18,16,4,30,10,57,10374,679
110968,47449,110994,4,40,160,8,4,2,13,9,17,30,10,47,12491,5185
139272,58277,141151,4,40,160,41,4,2,16,16,20,30,10,82,22843,4216
136990,56355,138179,4,40,160,52,4,2,12,11,8,30,10,82,23223,1480
223815,94403,226795,4,40,160,12,4,2,8,8,15,30,10,76,14303,2033
169163,71991,169825,4,40,160,5,4,2,19,10,4,30,10,50,10447,598
209703,89982,211769,4,40,160,26,4,2,19,19,12,30,10,80,19480,1847
187640,78271,189977,4,40,160,28,4,2,18,14,18,30,10,82,20060,2914
181719,77850,183223,4,40,160,35,4,2,8,22,11,30,10,83,21543,1624
162755,68752,164972,4,40,160,40,4,2,20,13,14,30,10,85,21922,2416
170417,75077,173038,4,40,160,33,4,2,4,20,20,30,10,82,22036,3453
153923,65461,155720,4,40,160,36,4,2,19,19,17,30,10,84,22073,3179
110280,41467,112356,4,40,160,53,4,2,18,4,14,30,10,82,24763,3521
157470,65285,158703,4,40,160,9,4,2,12,5,10,30,10,55,12787,2174
157944,63667,159375,4,40,160,39,4,2,9,9,13,30,10,83,22755,2598
126061,52603,128253,4,40,160,51,4,2,15,15,16,30,10,86,25039,3769
237627,100650,238431,4,40,160,17,4,2,19,23,5,30,10,72,16508,535
211196,87915,214902,4,40,160,24,4,2,13,15,15,30,10,80,18846,2199
238868,101249,242198,4,40,160,14,4,2,7,8,8,30,10,75,14970,999
177000,73678,177230,4,40,160,11,4,2,11,17,21,30,10,66,13988,3962
148816,62262,152305,4,40,160,34,4,2,22,12,22,30,10,82,21415,4441
118959,48587,120460,4,40,160,41,4,2,21,12,22,30,10,81,22612,5437
6592,2571,7169,4,40,160,4,4,2,19,20,21,30,10,20,10396,18555
144655,61441,147090,4,40,160,42,4,2,9,16,23,30,10,84,24016,4744
257877,115152,260307,4,40,160,20,4,2,6,21,4,30,10,77,17100,317
176900,72556,178313,4,40,160,31,4,2,10,23,16,30,10,83,21343,2786
111409,44853,117422,4,40,160,53,4,2,6,19,22,30,10,83,26069,5708
115876,38931,118231,4,40,160,50,4,2,14,5,23,30,10,82,24124,7090
199420,81740,203306,4,40,160,27,4,2,5,17,16,30,10,81,20222,2526
159462,61842,161586,4,40,160,30,4,2,18,6,22,30,10,82,20109,4710
217060,94191,218186,4,40,160,8,4,2,13,20,4,30,10,63,12578,439
213330,90002,215494,4,40,160,13,4,2,19,12,20,30,10,74,15114,3189
265274,111209,265668,4,40,160,15,4,2,4,19,4,30,10,73,15566,369
216233,90777,218657,4,40,160,26,4,2,14,16,6,30,10,78,18661,766
144695,58064,147015,4,40,160,47,4,2,9,17,16,30,10,86,24578,3227
222502,95151,225421,4,40,160,19,4,2,7,14,12,30,10,77,17247,1591
144137,59997,147537,4,40,160,48,4,2,23,18,16,30,10,86,23886,2899
212028,91307,213600,4,40,160,8,4,2,5,20,6,30,10,63,12377,775
114591,49368,117597,4,40,160,46,4,2,22,18,21,30,10,82,23482,5520
72281,29842,73860,4,40,160,7,4,2,16,5,23,30,10,41,11996,10024
148528,61235,150543,4,40,160,51,4,2,6,20,7,30,10,81,24308,1165
199907,85921,203110,4,40,160,34,4,2,19,11,5,30,10,79,19718,481
133223,53394,137064,4,40,160,46,4,2,7,18,21,30,10,85,24735,4429
209456,88785,213107,4,40,160,25,4,2,5,17,20,30,10,82,19943,2822
212779,89946,214505,4,40,160,9,4,2,6,7,9,30,10,70,12836,1225
172864,73915,173833,4,40,160,42,4,2,19,14,7,30,10,81,22428,1053
216792,96260,218353,4,40,160,22,4,2,6,13,13,30,10,79,18710,1881
188537,82135,191420,4,40,160,27,4,2,8,22,22,30,10,83,20591,3393
190517,77410,191787,4,40,160,35,4,2,5,13,10,30,10,83,21737,1537
156495,67135,156212,4,40,160,34,4,2,9,5,10,30,10,80,20779,1810
