@relation 'cluster-weka.filters.unsupervised.attribute.Remove-R2-6,8-9,15-17'

@attribute onBoltRate numeric
@attribute workers numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric

@data
248235,20,17,16,5,30,10
235790,21,11,12,5,30,10
123131,6,20,13,12,30,10
236967,13,10,17,12,30,10
68526,12,9,6,17,30,10
221317,13,13,15,20,30,10
104025,16,11,4,23,30,10
192184,25,4,4,23,30,10
178606,37,15,11,7,30,10
162640,31,20,5,21,30,10
203772,12,22,13,16,30,10
184366,29,15,9,21,30,10
122742,38,18,4,19,30,10
163156,38,5,16,23,30,10
197564,13,13,7,18,30,10
220452,27,14,15,5,30,10
230287,13,22,17,7,30,10
127667,52,22,6,17,30,10
208323,18,18,14,19,30,10
161501,7,5,9,4,30,10
206430,29,10,4,14,30,10
148538,40,8,20,23,30,10
203961,7,17,20,6,30,10
143697,47,5,5,20,30,10
183286,31,9,7,12,30,10
146137,41,9,8,12,30,10
233117,11,18,9,4,30,10
168511,6,22,21,5,30,10
204416,26,18,8,9,30,10
150275,37,4,14,23,30,10
183564,39,23,17,6,30,10
176905,39,22,14,9,30,10
203565,29,15,13,11,30,10
179796,35,4,23,14,30,10
135647,52,19,10,11,30,10
145288,45,18,5,16,30,10
213035,17,19,17,20,30,10
133798,44,21,17,20,30,10
183746,31,17,9,11,30,10
168834,33,6,11,19,30,10
137857,9,16,23,23,30,10
129809,46,12,20,20,30,10
155958,35,21,9,17,30,10
218437,25,4,6,9,30,10
162718,42,12,12,10,30,10
168050,29,12,8,18,30,10
184303,28,19,16,21,30,10
162733,34,7,5,18,30,10
128416,48,19,5,13,30,10
157132,37,23,17,19,30,10
146186,34,18,17,19,30,10
248856,10,16,21,4,30,10
241431,16,5,18,4,30,10
174187,27,23,21,22,30,10
37612,4,5,19,18,30,10
202227,27,14,10,14,30,10
215540,20,19,11,21,30,10
215243,8,16,14,6,30,10
136551,53,9,10,12,30,10
245994,12,8,11,5,30,10
170876,37,20,8,15,30,10
137491,48,22,9,10,30,10
188290,24,18,19,17,30,10
105976,7,6,17,18,30,10
127699,9,11,14,23,30,10
213888,25,4,13,14,30,10
231052,15,23,18,19,30,10
133052,50,21,12,11,30,10
221575,19,16,12,14,30,10
103154,19,12,4,15,30,10
228562,14,4,9,17,30,10
135281,44,10,16,17,30,10
119557,51,18,12,22,30,10
216243,13,15,14,19,30,10
174890,38,15,19,16,30,10
229961,12,22,11,10,30,10
175165,40,16,12,7,30,10
153777,37,17,22,23,30,10
146498,42,16,16,21,30,10
172908,35,6,11,15,30,10
172762,31,14,22,17,30,10
205020,30,12,16,7,30,10
197496,32,7,16,14,30,10
153047,42,12,7,23,30,10
40090,5,11,16,23,30,10
150083,11,5,6,22,30,10
168902,16,23,5,8,30,10
230142,16,16,18,6,30,10
202876,22,23,4,5,30,10
132480,53,8,19,8,30,10
163793,44,23,11,4,30,10
103282,8,5,12,23,30,10
194511,30,8,18,17,30,10
175413,11,16,9,19,30,10
172473,24,23,17,23,30,10
142402,47,8,13,19,30,10
182000,37,15,19,7,30,10
198725,11,18,10,10,30,10
80250,16,14,5,8,30,10
160812,43,16,6,6,30,10
175480,42,8,13,7,30,10
141812,9,11,21,23,30,10
225178,10,18,22,12,30,10
168211,33,13,13,22,30,10
128668,45,16,23,18,30,10
145735,40,22,17,18,30,10
207148,8,12,8,10,30,10
164613,43,13,11,9,30,10
175124,7,15,10,5,30,10
209401,12,23,15,10,30,10
